label,emg_0
None,520
None,510
None,497
None,528
None,517
None,536
None,530
None,518
None,519
None,513
None,524
None,498
None,498
None,518
None,515
None,495
None,487
None,492
None,495
None,502
None,536
None,508
None,502
None,530
None,504
None,493
None,496
None,519
None,507
None,488
None,490
None,517
None,498
None,489
None,496
None,509
None,530
None,506
None,525
None,502
None,497
None,521
None,509
None,493
None,492
None,517
None,510
None,508
None,519
None,515
None,511
None,530
None,500
None,518
None,521
None,529
None,521
None,504
None,504
None,519
None,522
None,493
None,490
None,502
None,500
None,487
None,498
None,517
None,498
None,502
None,535
None,539
None,513
None,523
None,500
None,498
None,525
None,506
None,489
None,487
None,487
None,510
None,521
None,502
None,499
None,522
None,522
None,520
None,513
None,533
None,506
None,527
None,513
None,512
None,515
None,523
None,514
None,491
None,510
None,505
None,490
None,495
None,500
None,524
None,511
None,508
None,525
None,527
None,519
None,509
None,489
None,519
None,524
None,510
None,486
None,513
None,511
None,492
None,500
None,534
None,537
None,528
None,506
None,503
None,493
None,512
None,503
None,492
None,489
None,490
None,489
None,515
None,505
None,495
None,513
None,508
None,537
None,526
None,536
None,505
None,526
None,528
None,525
None,525
None,524
None,520
None,502
None,491
None,506
None,516
None,514
None,497
None,511
None,506
None,521
None,526
None,529
None,526
None,524
None,496
None,502
None,488
None,487
None,511
None,514
None,502
None,518
None,493
None,497
None,534
None,509
None,524
None,526
None,517
None,514
None,512
None,525
None,525
None,521
None,518
None,516
None,493
None,496
None,524
None,527
None,501
None,535
None,510
None,504
None,522
None,496
None,493
None,495
None,499
None,524
None,516
None,499
None,502
None,515
None,489
None,493
None,520
None,502
None,515
None,537
None,506
None,532
None,520
None,505
None,510
None,492
None,486
None,507
None,514
None,486
None,518
None,489
None,498
None,516
None,515
None,536
None,508
None,528
None,507
None,499
None,497
None,498
None,522
None,520
None,513
None,521
None,487
None,521
None,494
None,523
None,496
None,534
None,514
None,511
None,522
None,526
None,519
None,526
None,493
None,491
None,517
None,490
None,518
None,485
None,522
None,527
None,504
None,514
None,536
None,533
None,498
None,521
None,527
None,524
None,495
None,505
None,495
None,487
None,518
